"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity test1","Get users compromise  manual","PENDING","2020-07-19T22:26:41.093-05:00[America/Bogota]","0.0","0.0"
"Serenity test1","Get users information skipped","PENDING","2020-07-19T22:26:41.098-05:00[America/Bogota]","0.0","0.0"
